排名,项目名称,完整名称,作者,描述,语言,Stars,Forks,Issues,创建时间,更新时间,仓库链接,主页链接,许可证,大小(KB),是否Fork,是否已归档
1,ack.vim,mileszs/ack.vim,mileszs,Vim plugin for the Perl module / CLI script 'ack',Vim script,3091,393,85,2009-01-20T21:43:47Z,2025-11-23T21:27:46Z,https://github.com/mileszs/ack.vim,,Other,165,False,False
2,tabular,godlygeek/tabular,godlygeek,Vim script for text filtering and alignment,Vim Script,2645,163,30,2009-03-03T06:19:16Z,2025-12-06T17:24:53Z,https://github.com/godlygeek/tabular,,Other,62,False,False
3,snipmate.vim,msanders/snipmate.vim,msanders,snipMate.vim aims to be a concise vim script that implements some of TextMate's snippets features in Vim. ,VimL,2017,738,40,2009-02-16T15:24:55Z,2025-12-07T05:13:13Z,https://github.com/msanders/snipmate.vim,www.vim.org/scripts/script.php?script_id=2540,,1366,False,True
4,dotfiles,garybernhardt/dotfiles,garybernhardt,~grb. Things in here are often interdependent. A lot of stuff relies on scripts in bin/.,Vim Script,1909,401,0,2010-12-07T16:21:00Z,2025-12-05T21:27:11Z,https://github.com/garybernhardt/dotfiles,,,2121,False,False
5,vim-coffee-script,kchmck/vim-coffee-script,kchmck,CoffeeScript support for vim,Vim script,1762,201,36,2010-01-20T21:36:21Z,2025-11-08T13:59:35Z,https://github.com/kchmck/vim-coffee-script,,Other,432,False,False
6,scripting_course,learnbyexample/scripting_course,learnbyexample,":notebook: Books, reference guides and resources on Regular Expressions, CLI one-liners, Scripting Languages and Vim.",Vim Script,1411,191,0,2016-03-10T15:56:06Z,2025-11-24T17:13:42Z,https://github.com/learnbyexample/scripting_course,https://learnbyexample.github.io/scripting_course/,,1474,False,False
7,vim-fern,lambdalisue/vim-fern,lambdalisue,🌿 General purpose asynchronous tree viewer written in Pure Vim script,Vim Script,1342,50,23,2018-11-18T21:36:34Z,2025-12-02T13:38:19Z,https://github.com/lambdalisue/vim-fern,,MIT License,1523,False,False
8,vim-jsx-pretty,MaxMEllon/vim-jsx-pretty,MaxMEllon,:flashlight: [Vim script] JSX and TSX syntax pretty highlighting for vim.,Vim script,974,37,12,2016-07-03T21:24:33Z,2025-12-07T07:42:15Z,https://github.com/MaxMEllon/vim-jsx-pretty,,MIT License,177,False,False
9,asyncomplete.vim,prabirshrestha/asyncomplete.vim,prabirshrestha,async completion in pure vim script for vim8 and neovim,Vim Script,971,62,4,2017-01-11T07:27:10Z,2025-12-07T04:40:31Z,https://github.com/prabirshrestha/asyncomplete.vim,,MIT License,206,False,False
10,vimllearn,lymslive/vimllearn,lymslive,A book for VimL Script language,Vim Script,902,116,1,2018-03-22T12:16:34Z,2025-11-21T14:29:24Z,https://github.com/lymslive/vimllearn,https://lymslive.github.io/vimllearn/,Other,22357,False,False
11,vimfiler.vim,Shougo/vimfiler.vim,Shougo,:file_folder: Powerful file explorer implemented by Vim script,Vim Script,887,77,2,2010-01-15T08:42:25Z,2025-11-21T08:15:50Z,https://github.com/Shougo/vimfiler.vim,,Other,2718,False,False
12,vim-indent-object,michaeljsmith/vim-indent-object,michaeljsmith,"Vim plugin that defines a new text object representing lines of code at the same indent level. Useful for python/vim scripts, etc.",Vim Script,785,58,14,2010-04-01T04:44:49Z,2025-11-18T22:32:53Z,https://github.com/michaeljsmith/vim-indent-object,http://www.vim.org/scripts/script.php?script_id=3037,MIT License,24,False,False
13,vim-gnupg,jamessan/vim-gnupg,jamessan,This script implements transparent editing of gpg encrypted files.,Vim script,741,76,22,2012-05-22T01:19:49Z,2025-11-24T08:14:13Z,https://github.com/jamessan/vim-gnupg,http://www.vim.org/scripts/script.php?script_id=3645,,274,False,False
14,vim-scriptease,tpope/vim-scriptease,tpope,scriptease.vim: A Vim plugin for Vim plugins,Vim Script,685,41,5,2012-11-26T04:36:14Z,2025-11-21T21:03:28Z,https://github.com/tpope/vim-scriptease,https://www.vim.org/scripts/script.php?script_id=4394,,101,False,False
15,CamelCaseMotion,bkad/CamelCaseMotion,bkad,A vim script to provide CamelCase motion through words (fork of inkarkat's camelcasemotion script),Vim Script,618,46,11,2010-11-16T18:32:53Z,2025-12-06T17:20:01Z,https://github.com/bkad/CamelCaseMotion,,,70,False,False
16,8cc.vim,rhysd/8cc.vim,rhysd,C Compiler written in Vim script,VimL,446,8,0,2016-10-20T09:59:45Z,2025-11-13T07:34:03Z,https://github.com/rhysd/8cc.vim,,,648,False,False
17,vim-fish,dag/vim-fish,dag,Vim support for editing fish scripts,Vim script,432,59,26,2013-05-05T17:48:38Z,2025-11-11T06:46:20Z,https://github.com/dag/vim-fish,,MIT License,37,False,False
18,vim-misc,xolox/vim-misc,xolox,Miscellaneous auto-load Vim scripts,VimL,365,58,11,2011-03-15T22:01:27Z,2025-10-23T03:40:07Z,https://github.com/xolox/vim-misc,http://peterodding.com/code/vim/misc/,,724,False,False
19,python-syntax,hdima/python-syntax,hdima,Python syntax highlighting script for Vim,VimL,362,107,23,2013-05-12T20:14:32Z,2025-11-11T18:55:35Z,https://github.com/hdima/python-syntax,http://www.vim.org/scripts/script.php?script_id=790,MIT License,442,False,False
20,cfg,durdn/cfg,durdn,dotfiles and related syncing scripts,Vim script,360,84,1,2010-10-23T22:53:46Z,2025-10-04T13:56:04Z,https://github.com/durdn/cfg,,,3629,False,False
21,vim-bufkill,qpkorr/vim-bufkill,qpkorr,Git repo for http://www.vim.org/scripts/script.php?script_id=1147,Vim script,304,22,7,2015-05-10T00:55:19Z,2025-04-08T06:07:34Z,https://github.com/qpkorr/vim-bufkill,,,29,False,False
22,vim-themis,thinca/vim-themis,thinca,A testing framework for Vim script.,Vim Script,245,28,13,2014-06-30T14:54:04Z,2025-11-09T16:32:12Z,https://github.com/thinca/vim-themis,,zlib License,578,False,False
23,dotfiles,mattjmorrison/dotfiles,mattjmorrison,Dotfiles and an install script for easy set up,Vim Script,238,36,9,2013-05-14T14:37:57Z,2025-12-01T14:04:19Z,https://github.com/mattjmorrison/dotfiles,,,2301,False,False
24,vim-linux-coding-style,vivien/vim-linux-coding-style,vivien,Vim plugin to respect the Linux kernel coding style http://www.vim.org/scripts/script.php?script_id=4369,Vim script,233,94,9,2012-01-12T06:12:22Z,2025-11-07T13:13:59Z,https://github.com/vivien/vim-linux-coding-style,,,17,False,False
25,vim-vspec,kana/vim-vspec,kana,Vim plugin: Testing framework for Vim script,Vim Script,226,13,12,2010-03-01T13:21:01Z,2025-09-23T20:41:58Z,https://github.com/kana/vim-vspec,http://www.vim.org/scripts/script.php?script_id=3012,,438,False,False
26,ZFVimIM,ZSaberLv0/ZFVimIM,ZSaberLv0,"vim输入法 / Vim Input Method by pure vim script, support: user word, dynamic word priority, cloud db files",Vim Script,218,16,0,2019-07-15T13:20:06Z,2025-11-24T18:42:03Z,https://github.com/ZSaberLv0/ZFVimIM,,,462,False,False
